pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023-11-14	Selecting Shots for Demographic Fairness in Few-Shot Learning with Large Language Models	arXiv	In this work, we explore the effect of shots, which directly affect the performance of models, on the fairness of LLMs as NLP classification systems. We consider how different shot selection strategies, both existing and new demographically sensitive methods, affect model fairness across three standard fairness datasets. We discuss how future work can include LLM fairness evaluations.	Selecting Shots for Demographic Fairness in Few-Shot Learning with Large Language Models C Aguirre, K Sasse, I Cachola, M Dredze - arXiv preprint arXiv:2311.08472, 2023	paper-number-1	https://arxiv.org/pdf/2311.08472.pdf
2023-10-23	To Burst or Not to Burst: Generating and Quantifying Improbable Text	GEM @ EMNLP 2023	While large language models (LLMs) are extremely capable at text generation, their outputs are still distinguishable from human-authored text. We explore this separation across many metrics over text, many sampling techniques, many types of text data, and across two popular LLMs, LLaMA and Vicuna. Along the way, we introduce a new metric, recoverability, to highlight differences between human and machine text; and we propose a new sampling technique, burst sampling, designed to close this gap.	To Burst or Not to Burst: Generating and Quantifying Improbable Text K Sasse, E Kayi, S Barham, E Staley - GEM Workshop @ EMNLP, 2023	paper-number-2	https://gem-benchmark.com/workshop
